Name,PO4_y_copernicus_2
November,0.8639526
December,0.8639526
2026,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2027,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2028,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2029,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2030,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2031,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2032,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2033,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2034,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2035,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2036,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2037,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2038,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2039,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2040,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2041,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2042,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2043,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2044,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2045,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2046,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2047,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2048,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2049,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2050,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2051,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2052,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2053,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2054,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2055,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2056,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2057,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2058,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2059,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2060,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2061,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2062,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2063,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
