"","year","val"
"1",1991,10.67960067625
"2",1992,10.67960067625
"3",1993,10.67960067625
"4",1994,11.3315206360833
"5",1995,11.740931113
"6",1996,10.0837608373333
"7",1997,11.1128725211667
"8",1998,11.1551462015
"9",1999,11.75095903925
"10",2000,11.38417339425
"11",2001,11.3914825521667
"12",2002,11.9018476808333
"13",2003,11.7161277139167
"14",2004,11.4163277945833
"15",2005,11.4089212819167
"16",2006,11.5212154385
"17",2007,12.07082613275
"18",2008,11.4536132413333
"19",2009,11.4963145651667
"20",2010,10.5418305796667
"21",2011,11.3613144545833
"22",2012,11.0730284451667
"23",2013,10.5444844169167
"24",2014,12.50312117725
"25",2015,11.4431931564167
"26",2016,12.0866228734167
"27",2017,11.8495119809167
"28",2018,11.5510774058333
"29",2019,12.0092865625
"30",2020,12.0465612413333
"31",2021,11.3535571494167
"32",2022,12.5823634475
"33",2023,12.2480311785833
"34",2024,12.38380773725
"35",2025,12.3258412469167
"36",2026,12.0780009130833
"37",2027,12.3080597280833
"38",2028,12.336852119
"39",2029,12.22419836525
"40",2030,12.1108202073333
"41",2031,12.3154913916667
"42",2032,12.5583460495833
"43",2033,12.4328447121667
"44",2034,12.6523758971667
"45",2035,12.6115388591667
"46",2036,12.6682073790833
"47",2037,12.4852850075
"48",2038,12.2851622065833
"49",2039,12.61618787025
"50",2040,12.8231803464167
"51",2041,12.6096642710833
"52",2042,12.897725728
"53",2043,13.0156680423333
"54",2044,12.8113334734167
"55",2045,12.8031111155833
"56",2046,12.924565893
"57",2047,12.89501784025
"58",2048,13.0525733743333
"59",2049,13.3008981721667
"60",2050,13.0484508703333
"61",2051,13.0236472235
"62",2052,12.98235570575
"63",2053,13.1790567613333
"64",2054,12.7886072506667
"65",2055,13.2059941665
"66",2056,13.15377418375
"67",2057,13.04461245825
"68",2058,13.1897398973333
"69",2059,13.1722703914167
"70",2060,13.44607248475
"71",2061,13.5408748595
"72",2062,13.34184442625
"73",2063,13.3814609670833
"74",2064,13.3088918048333
"75",2065,13.1942816035
"76",2066,13.5757963436667
"77",2067,13.5482561125833
"78",2068,13.437989638
"79",2069,13.6050416900833
"80",2070,13.628730204
"81",2071,13.5457474339167
"82",2072,13.60143452325
"83",2073,13.7672723709167
"84",2074,13.7323428800833
"85",2075,13.7085078865833
"86",2076,14.014095667
"87",2077,13.7486837065833
"88",2078,14.05094628675
"89",2079,13.9566054440833
"90",2080,13.9926882505
"91",2081,13.7851028139167
"92",2082,13.995618584
"93",2083,14.12938391575
"94",2084,13.9343989155833
"95",2085,14.14916091925
"96",2086,14.4060072408333
"97",2087,14.2851042996667
"98",2088,14.5147264075833
"99",2089,14.5752461508333
"100",2090,14.4695264620833
"101",2091,14.50412030125
"102",2092,14.619076447
"103",2093,14.7628625418333
"104",2094,14.7522259980833
"105",2095,14.77580444625
"106",2096,15.060407561
"107",2097,14.8478338264167
"108",2098,14.9338448605
"109",2099,14.904720259
